OBJID,EL_RAW,CS_RAW,DEB_AMATEUR,EXPERT
587731185671929986,1,0,U,M
587727178991141022,0,1,S,L
587731187819413623,0,1,S,M
587727227305590887,0,1,S,L
587724233175072916,1,0,E,M
587724199349846160,0,1,S,L
587731186745737369,0,1,S,L
587727226768719937,0,1,S,L
587724198276169809,0,1,S,L
587724199349911617,0,1,U,L
587727180065013845,0,1,S,L
587724232101396582,0,1,S,L
588015509811232912,1,0,E,M
587727180065013869,0,1,S,L
587724197202493564,0,1,S,L
587731185135255683,1,0,U,M
588015509274427609,1,0,U,M
587724198813106377,0,1,S,L
587727227305787485,1,0,U,M
587727227842658398,0,1,S,L
587724233175269387,1,0,E,M
588015508200751249,1,0,U,M
588015508737622060,0,1,S,L
587724233712140421,0,1,S,L
587727177917661259,1,0,U,M
588015507663880332,1,0,U,M
587724199350042799,1,0,U,M
587724199350042803,1,0,E,M
587724199350042819,0,1,U,M
588015510348300342,1,0,E,M
587724232638464033,0,1,S,L
587727177917661295,1,0,U,M
587724199350108310,1,0,E,M
587727227305853049,1,0,E,L
587724234249076842,0,1,S,L
587727177917726826,1,0,U,M
587724197739495456,0,1,S,L
587727180602081369,0,1,S,L
587724234249142285,1,0,E,M
587727227305918586,0,1,S,L
587724233712271513,1,0,U,M
587727227305984112,1,0,U,M
587727227305984116,0,1,S,L
587727226232242269,1,0,U,M
587724199887044764,0,1,S,L
587727178991534229,1,0,E,M
587731187819872353,0,1,S,L
587727180065341546,1,0,U,L
587727227306049627,0,1,S,L
587731185135517812,1,0,E,M
587724198813433876,1,0,U,M
587727227842986096,1,0,E,M
587724233712468072,1,0,E,M
587724232638726250,0,1,S,L
587724198813499513,1,0,U,L
587727179528601717,1,0,U,L
587727226232373339,0,1,S,L
587727179528601731,1,0,U,M
587727178991730776,0,1,S,L
587727226232438838,1,0,U,M
587727227843051615,0,1,S,L
587724233712533597,0,1,S,L
587724198276694074,0,1,S,M
587727180602409090,0,1,U,L
588015509811757241,0,1,S,L
587731187283198100,0,1,S,L
587727227306246237,0,1,S,L
587727227843117130,1,0,U,L
587727180065538163,1,0,U,L
587724199887306796,1,0,U,M
587731187283198130,1,0,U,M
587727180602474580,1,0,E,M
587731187820134404,1,0,U,M
587731185672650836,0,1,S,L
587727180065603665,0,1,S,L
587731187820134483,1,0,U,M
587724199887372405,1,0,U,M
587724233712599147,0,1,S,L
587731187283263639,0,1,U,L
587727227843117173,0,1,S,L
587724199887372420,0,1,S,L
587727180065603704,1,0,U,M
587731187820134498,0,1,U,L
587731185135779987,1,0,U,M
587727225695698974,0,1,S,L
587724234249470137,1,0,U,M
587727180602540092,0,1,U,L
587727177918120074,1,0,U,M
588015510348759172,1,0,U,M
587724231565181014,1,0,U,M
588015508738146429,0,1,S,L
587727180602540141,0,1,U,L
587727226769506368,0,1,S,L
588015508738211950,0,1,S,M
587727225695764539,0,1,S,L
587724197740019841,1,0,U,M
587731187283394695,1,0,S,M
587724198276890723,0,1,S,L
588015508738211996,0,0,S,L
587727226232701024,1,0,U,M
587724199887503546,1,0,U,M
587724232639053841,0,1,S,L
587727225158959272,1,0,U,L
587727226232701058,0,1,S,L
587727178455187483,0,1,S,L
587724234249666764,0,0,U,L
587727227843379329,1,0,U,M
587724198813827141,1,0,U,M
587727225159024727,0,1,S,L
587724198813827264,0,1,U,L
587731187283525640,1,0,U,M
587731186746654822,1,0,U,L
587724198813892765,0,1,S,L
587727227843379291,0,1,S,L
587727177918382117,0,1,S,L
587727227843379380,1,0,U,L
587727227306573878,0,1,S,L
587724198277021897,0,1,S,L
587724232102248659,1,0,U,M
587727225695895688,1,0,U,M
587727180065931371,1,0,U,M
587727227843444821,0,1,S,L
587727225159090271,0,1,S,L
588015508738408572,1,0,U,L
587731187820462112,0,1,S,L
587727177918447721,0,1,S,L
587727179529060471,1,0,U,M
587727227843510370,1,0,U,M
587727225696026689,1,0,U,M
587727227843510391,1,0,U,M
588015507664732260,0,1,S,L
587727178992255054,0,1,S,L
587727177918513288,1,0,U,M
587727178992255068,0,1,S,L
587727177918513306,1,0,U,M
587727177918513310,1,0,U,M
587727178455449667,0,1,S,L
587727180066062415,0,1,S,M
588015507664797867,0,1,S,L
587727177918578736,1,0,E,M
588015509812281443,1,0,E,M
587727180066062441,1,0,E,M
587727227306705017,0,1,U,L
587727178992320585,0,1,U,M
587727225159221403,0,1,S,M
587727226232963252,1,0,E,M
587727226232963249,0,1,S,M
587727179529191565,0,1,S,M
587724231565574263,1,0,U,L
587727225696092279,1,0,U,M
587727226232963286,1,0,U,M
587727177918578828,0,1,S,M
587727226233028704,0,1,S,L
587731185136238788,0,1,S,L
587727226233028710,1,0,U,M
587727178992320624,1,0,E,M
587731187283787859,0,1,S,L
587727225696157828,0,1,S,L
587727178992320639,1,0,U,M
587727226233028744,1,0,E,M
587727226233028742,1,0,E,M
587724232102510722,0,1,S,L
587727226233028809,1,0,U,M
587724232102510748,0,1,S,L
587727178992386165,1,0,U,M
587731187283787947,1,0,E,M
587727225159286876,1,0,U,M
587727225159286879,1,0,U,L
587727225696157890,0,1,S,L
587727227843706985,0,1,S,L
587727226233094248,1,0,U,M
587727226233094255,1,0,E,M
587724233713123522,0,1,S,L
587727180602998864,0,1,S,L
587724199351025860,0,1,U,L
587724233713123526,1,0,U,M
587727226233094265,1,0,U,M
587727226233094263,1,0,U,M
587727178992386188,1,0,U,M
587727178992386200,0,1,S,M
588015508201799799,0,1,S,M
588015509275541659,1,0,U,L
587724231565705231,1,0,U,M
587727177918644319,0,1,U,L
587727225696223339,1,0,U,M
587731185673240716,0,1,U,L
588015509275541586,0,1,U,L
588015509812412586,1,0,U,M
587724197203607692,0,1,S,L
588015508738670774,0,1,S,L
587727225159352384,0,1,S,L
587727180066193564,1,0,U,M
587727226233094186,0,1,S,L
588015509275541724,0,1,S,L
587727225159352468,0,1,S,M
587724233713189011,1,0,U,L
587724199351091454,0,1,S,L
587727178992451682,0,1,U,M
587727180603064462,1,0,U,M
588015507664994422,0,1,S,L
587727226233159797,0,1,S,L
587727178992517187,1,0,E,M
587727226770030678,0,1,S,L
587724199351091505,0,1,U,L
587731187283918951,1,0,U,M
587727226233159823,1,0,E,M
587727178992517210,1,0,E,M
587727225159418009,1,0,S,M
588015508201930870,1,0,E,M
588015509275672665,0,1,S,L
587731187283918988,1,0,E,M
587724197740544218,1,0,U,M
587724232102707341,0,1,U,L
587727227843838061,0,1,S,L
587724232639512809,0,1,S,L
587727180066324483,1,0,E,M
587724233176383714,0,1,S,L
587727180603195482,1,0,S,L
587727180603195480,0,1,S,L
587724198277480631,0,1,S,L
588015507665059981,0,1,S,L
587727227843838109,0,1,S,L
587727226770096309,1,0,E,M
588015509812609132,0,1,U,L
587727180603195507,1,0,U,M
587727178992582807,1,0,E,M
588015508738867312,0,1,S,L
587724233176449222,1,0,U,M
588015507665125494,1,0,U,M
588015508201996416,0,1,S,L
587724233713385608,0,1,S,L
587727178992648277,0,1,S,L
587727227307098176,1,0,U,M
