OBJID,NVOTE,N_EL,N_CS,N_CW,N_ACW,N_EDGE,N_DK,N_MG,EL,CS,CW,ACW,EDGE,DK,MG,EL_DEB,CS_DEB,AMATEUR,ES_EXPERT,MG_EXPERT,MG_AMATEUR
588298664120811757,38,0,38,0,38,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587730021716197626,57,2,55,52,1,2,0,0,0.035,0.965,0.912,0.018,0.035,0.000,0.000,0.018,0.982,S,L,0,0
587731500256264312,36,27,4,0,2,2,5,0,0.750,0.111,0.000,0.056,0.056,0.139,0.000,0.742,0.119,U,M,0,0
587731890575442089,59,13,45,6,8,31,1,0,0.220,0.763,0.102,0.136,0.525,0.017,0.000,0.062,0.919,U,L,0,0
587735343191752843,35,32,2,0,0,2,1,0,0.914,0.057,0.000,0.000,0.057,0.029,0.000,0.867,0.104,U,M,0,0
587725505557299398,31,29,1,0,1,0,1,0,0.935,0.032,0.000,0.032,0.000,0.032,0.000,0.898,0.069,E,M,0,0
587731512082956422,50,1,49,0,47,2,0,0,0.020,0.980,0.000,0.940,0.040,0.000,0.000,0.016,0.984,S,L,0,0
588848900994171010,23,11,12,5,1,6,0,0,0.478,0.522,0.217,0.043,0.261,0.000,0.000,0.164,0.836,S,L,0,0
587739407854600227,20,11,8,1,6,1,1,0,0.550,0.400,0.050,0.300,0.050,0.050,0.000,0.463,0.485,U,L,0,0
587736783072198826,28,0,28,28,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587739810488713381,35,23,6,3,0,3,6,0,0.657,0.171,0.086,0.000,0.086,0.171,0.000,0.574,0.245,U,L,0,0
587727221397455221,63,42,15,4,0,11,6,0,0.667,0.238,0.063,0.000,0.175,0.095,0.000,0.499,0.390,U,M,0,0
587735661552730237,33,27,6,1,3,2,0,0,0.818,0.182,0.030,0.091,0.061,0.000,0.000,0.718,0.282,U,M,0,0
587727225159352468,49,22,26,3,1,22,1,0,0.449,0.531,0.061,0.020,0.449,0.020,0.000,0.428,0.552,S,M,0,0
588017721713164389,54,39,11,2,1,8,4,0,0.722,0.204,0.037,0.019,0.148,0.074,0.000,0.529,0.380,U,M,0,0
588013383262667006,43,0,43,43,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588016841249849513,32,0,32,0,30,2,0,0,0.000,1.000,0.000,0.938,0.062,0.000,0.000,0.000,1.000,S,L,0,0
587734690888876210,26,7,14,5,0,9,1,4,0.269,0.538,0.192,0.000,0.346,0.038,0.154,0.206,0.597,U,M,0,0
587733397563375741,34,0,33,0,33,0,0,1,0.000,0.971,0.000,0.971,0.000,0.000,0.029,0.000,0.971,S,L,0,0
588017702402523231,33,30,1,0,0,1,2,0,0.909,0.030,0.000,0.000,0.030,0.061,0.000,0.852,0.081,U,M,0,0
588010360695947470,28,14,14,1,8,5,0,0,0.500,0.500,0.036,0.286,0.179,0.000,0.000,0.230,0.770,S,L,0,0
587739158731030649,73,4,66,2,62,2,2,1,0.055,0.904,0.027,0.849,0.027,0.027,0.014,0.021,0.937,S,L,0,0
587725472807977043,58,0,56,55,1,0,0,2,0.000,0.966,0.948,0.017,0.000,0.000,0.034,0.000,0.966,S,L,0,0
587735696450781339,32,23,8,0,5,3,1,0,0.719,0.250,0.000,0.156,0.094,0.031,0.000,0.560,0.405,U,M,0,0
587739707421688163,31,10,5,0,0,5,1,15,0.323,0.161,0.000,0.000,0.161,0.032,0.484,0.267,0.197,U,N,1,0
587737810645287024,36,0,36,0,36,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587734863757377675,35,34,0,0,0,0,1,0,0.971,0.000,0.000,0.000,0.000,0.029,0.000,0.971,0.000,E,M,0,0
587736584970895649,26,24,2,0,0,2,0,0,0.923,0.077,0.000,0.000,0.077,0.000,0.000,0.811,0.189,U,M,0,0
587727180593168506,25,7,18,11,0,7,0,0,0.280,0.720,0.440,0.000,0.280,0.000,0.000,0.063,0.937,S,L,0,0
587735343721742751,24,15,5,0,0,5,3,1,0.625,0.208,0.000,0.000,0.208,0.125,0.042,0.300,0.438,U,L,0,0
587739303681982614,27,14,11,0,10,1,2,0,0.519,0.407,0.000,0.370,0.037,0.074,0.000,0.323,0.591,S,L,0,0
587725469060301061,57,39,8,1,1,6,10,0,0.684,0.140,0.018,0.018,0.105,0.175,0.000,0.387,0.333,U,L,0,0
587735666923274244,23,2,5,0,0,5,5,11,0.087,0.217,0.000,0.000,0.217,0.217,0.478,0.087,0.217,U,N,1,0
587726031703965868,32,12,17,0,12,5,3,0,0.375,0.531,0.000,0.375,0.156,0.094,0.000,0.104,0.772,U,L,0,0
587724233713713283,32,26,5,1,0,4,1,0,0.812,0.156,0.031,0.000,0.125,0.031,0.000,0.747,0.220,U,M,0,0
587726031716417653,33,29,3,0,1,2,1,0,0.879,0.091,0.000,0.030,0.061,0.030,0.000,0.879,0.091,E,M,0,0
587733081347260546,28,3,24,1,18,5,1,0,0.107,0.857,0.036,0.643,0.179,0.036,0.000,0.028,0.934,S,L,0,0
587741709950910582,35,5,30,0,24,6,0,0,0.143,0.857,0.000,0.686,0.171,0.000,0.000,0.064,0.936,S,L,0,0
587736808308146422,59,8,45,1,25,19,3,3,0.136,0.763,0.017,0.424,0.322,0.051,0.051,0.036,0.853,S,L,0,0
587725575888896227,33,32,1,0,1,0,0,0,0.970,0.030,0.000,0.030,0.000,0.000,0.000,0.912,0.088,E,M,0,0
587730774423568612,34,1,32,0,32,0,0,1,0.029,0.941,0.000,0.941,0.000,0.000,0.029,0.010,0.960,S,L,0,0
587733603728556087,35,0,35,35,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
588295842858598502,34,25,8,4,0,4,1,0,0.735,0.235,0.118,0.000,0.118,0.029,0.000,0.403,0.550,U,M,0,0
587736619330502727,30,7,16,9,0,7,4,3,0.233,0.533,0.300,0.000,0.233,0.133,0.100,0.054,0.668,U,L,0,0
587729970719817905,24,2,22,18,1,3,0,0,0.083,0.917,0.750,0.042,0.125,0.000,0.000,0.073,0.927,S,L,0,0
587726878880629150,27,4,10,0,1,9,2,11,0.148,0.370,0.000,0.037,0.333,0.074,0.407,0.120,0.393,U,M,0,0
588017991778435381,60,38,17,1,5,11,5,0,0.633,0.283,0.017,0.083,0.183,0.083,0.000,0.375,0.514,U,L,0,0
588017566025187452,28,15,5,2,0,3,2,6,0.536,0.179,0.071,0.000,0.107,0.071,0.214,0.480,0.226,U,M,0,0
587731185668653188,28,0,28,0,27,1,0,0,0.000,1.000,0.000,0.964,0.036,0.000,0.000,0.000,1.000,S,L,0,0
587739811039281433,62,5,8,1,0,7,14,35,0.081,0.129,0.016,0.000,0.113,0.226,0.565,0.054,0.138,U,N,1,1
587729971254984959,53,10,41,30,0,11,1,1,0.189,0.774,0.566,0.000,0.208,0.019,0.019,0.045,0.912,S,L,0,0
587738410864148624,30,0,30,30,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587727942953468020,23,16,5,0,1,4,2,0,0.696,0.217,0.000,0.043,0.174,0.087,0.000,0.500,0.393,U,M,0,0
587735696451174536,35,35,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,E,M,0,0
587729409690829179,34,2,31,0,28,3,0,1,0.059,0.912,0.000,0.824,0.088,0.000,0.029,0.023,0.947,S,L,0,0
587729653963030822,22,21,1,0,0,1,0,0,0.955,0.045,0.000,0.000,0.045,0.000,0.000,0.862,0.138,U,M,0,0
587736543096733767,39,6,33,21,3,9,0,0,0.154,0.846,0.538,0.077,0.231,0.000,0.000,0.065,0.935,S,L,0,0
588018056198095122,27,1,24,0,24,0,1,1,0.037,0.889,0.000,0.889,0.000,0.037,0.037,0.027,0.899,S,L,0,0
587729751131029777,35,25,5,1,0,4,2,3,0.714,0.143,0.029,0.000,0.114,0.057,0.086,0.514,0.299,U,M,0,0
587742615637656010,44,1,42,39,0,3,0,1,0.023,0.955,0.886,0.000,0.068,0.000,0.023,0.005,0.972,S,L,0,0
587730815748735179,30,12,0,0,0,0,4,14,0.400,0.000,0.000,0.000,0.000,0.133,0.467,0.400,0.000,U,M,1,0
587733081345884297,32,26,4,1,0,3,2,0,0.812,0.125,0.031,0.000,0.094,0.062,0.000,0.735,0.199,U,M,0,0
587738951494140065,37,14,22,18,0,4,1,0,0.378,0.595,0.486,0.000,0.108,0.027,0.000,0.182,0.787,U,L,0,0
588010136270012536,29,21,5,0,3,2,2,1,0.724,0.172,0.000,0.103,0.069,0.069,0.034,0.450,0.396,U,M,0,0
587731173843469212,45,36,6,2,0,4,0,3,0.800,0.133,0.044,0.000,0.089,0.000,0.067,0.709,0.219,U,M,0,0
587736543630131336,24,1,23,0,22,1,0,0,0.042,0.958,0.000,0.917,0.042,0.000,0.000,0.020,0.980,S,L,0,0
587731869096607798,24,16,7,1,0,6,1,0,0.667,0.292,0.042,0.000,0.250,0.042,0.000,0.662,0.297,U,M,0,0
588010879295160413,33,23,6,1,0,5,3,1,0.697,0.182,0.030,0.000,0.152,0.091,0.030,0.638,0.237,U,M,0,0
587732591715811562,32,4,4,0,1,3,4,20,0.125,0.125,0.000,0.031,0.094,0.125,0.625,0.093,0.138,U,N,1,1
587741602563555478,31,1,30,0,30,0,0,0,0.032,0.968,0.000,0.968,0.000,0.000,0.000,0.011,0.989,S,L,0,0
587732582056853760,34,1,32,32,0,0,0,1,0.029,0.941,0.941,0.000,0.000,0.000,0.029,0.029,0.941,S,L,0,0
588017570312028261,36,6,11,1,3,7,0,19,0.167,0.306,0.028,0.083,0.194,0.000,0.528,0.097,0.346,U,N,1,1
587733429771436213,33,20,12,3,1,8,1,0,0.606,0.364,0.091,0.030,0.242,0.030,0.000,0.299,0.658,S,L,0,0
587735235805708760,59,1,56,56,0,0,0,2,0.017,0.949,0.949,0.000,0.000,0.000,0.034,0.013,0.953,S,L,0,0
587731870162878546,26,15,4,0,0,4,0,7,0.577,0.154,0.000,0.000,0.154,0.000,0.269,0.423,0.259,U,M,0,0
588017947752857746,64,59,1,0,0,1,4,0,0.922,0.016,0.000,0.000,0.016,0.062,0.000,0.922,0.016,E,M,0,0
588297864708751544,58,0,56,2,54,0,2,0,0.000,0.966,0.034,0.931,0.000,0.034,0.000,0.000,0.966,S,L,0,0
587741600953663635,32,10,19,5,3,11,3,0,0.312,0.594,0.156,0.094,0.344,0.094,0.000,0.093,0.792,U,L,0,0
587727177929785479,33,7,26,19,0,7,0,0,0.212,0.788,0.576,0.000,0.212,0.000,0.000,0.073,0.927,U,L,0,0
587742008972345635,36,0,36,1,34,1,0,0,0.000,1.000,0.028,0.944,0.028,0.000,0.000,0.000,1.000,S,L,0,0
588017992309669994,63,2,61,60,1,0,0,0,0.032,0.968,0.952,0.016,0.000,0.000,0.000,0.008,0.992,S,L,0,0
587727944565981410,37,13,23,18,1,4,1,0,0.351,0.622,0.486,0.027,0.108,0.027,0.000,0.085,0.879,S,L,0,0
587731869626597465,30,23,7,0,2,5,0,0,0.767,0.233,0.000,0.067,0.167,0.000,0.000,0.702,0.298,U,M,0,0
587735696982212747,35,35,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,E,M,0,0
587738409261793464,19,1,17,13,0,4,1,0,0.053,0.895,0.684,0.000,0.211,0.053,0.000,0.008,0.937,S,L,0,0
587729159508656250,74,68,0,0,0,0,4,2,0.919,0.000,0.000,0.000,0.000,0.054,0.027,0.919,0.000,E,M,0,0
587739505547542646,58,28,4,0,1,3,3,23,0.483,0.069,0.000,0.017,0.052,0.052,0.397,0.358,0.115,U,N,1,0
588017702403244170,29,1,28,0,25,3,0,0,0.034,0.966,0.000,0.862,0.103,0.000,0.000,0.034,0.966,S,L,0,0
587732483809804327,52,10,41,34,0,7,1,0,0.192,0.788,0.654,0.000,0.135,0.019,0.000,0.073,0.906,S,L,0,0
587732482735669430,31,0,31,29,0,2,0,0,0.000,1.000,0.935,0.000,0.065,0.000,0.000,0.000,1.000,S,L,0,0
587742773477376122,23,0,23,0,23,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587732135916667080,30,1,27,25,0,2,0,2,0.033,0.900,0.833,0.000,0.067,0.000,0.067,0.012,0.921,S,L,0,0
588017625609142417,27,0,27,2,25,0,0,0,0.000,1.000,0.074,0.926,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587738410866704538,19,0,19,0,18,1,0,0,0.000,1.000,0.000,0.947,0.053,0.000,0.000,0.000,1.000,S,L,0,0
587733608017363162,60,19,36,8,6,22,2,3,0.317,0.600,0.133,0.100,0.367,0.033,0.050,0.113,0.787,S,L,0,0
587738950958121024,66,0,61,57,3,1,1,4,0.000,0.924,0.864,0.045,0.015,0.015,0.061,0.000,0.924,S,L,0,0
587732770502082707,73,8,63,1,51,11,2,0,0.110,0.863,0.014,0.699,0.151,0.027,0.000,0.028,0.943,S,L,0,0
588848901009572138,56,11,42,1,34,7,3,0,0.196,0.750,0.018,0.607,0.125,0.054,0.000,0.040,0.898,S,L,0,0
587741709954252965,58,6,52,49,0,3,0,0,0.103,0.897,0.845,0.000,0.052,0.000,0.000,0.089,0.911,S,L,0,0
587724231571210327,29,28,0,0,0,0,1,0,0.966,0.000,0.000,0.000,0.000,0.034,0.000,0.966,0.000,E,M,0,0
587729233052041524,20,0,20,20,0,0,0,0,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587736619324276988,27,2,25,0,22,3,0,0,0.074,0.926,0.000,0.815,0.111,0.000,0.000,0.016,0.984,S,L,0,0
588017605753241668,50,47,3,0,1,2,0,0,0.940,0.060,0.000,0.020,0.040,0.000,0.000,0.940,0.060,E,M,0,0
588018055130907259,26,1,24,0,22,2,1,0,0.038,0.923,0.000,0.846,0.077,0.038,0.000,0.022,0.939,S,L,0,0
588017564950265988,29,25,2,0,0,2,2,0,0.862,0.069,0.000,0.000,0.069,0.069,0.000,0.740,0.176,U,M,0,0
587735347491373225,27,2,25,22,0,3,0,0,0.074,0.926,0.815,0.000,0.111,0.000,0.000,0.020,0.980,S,L,0,0
587733432997314689,57,1,55,54,1,0,0,1,0.018,0.965,0.947,0.018,0.000,0.000,0.018,0.018,0.965,S,L,0,0
587732483274506341,18,4,13,6,3,4,1,0,0.222,0.722,0.333,0.167,0.222,0.056,0.000,0.074,0.863,S,L,0,0
587726031176138910,25,2,21,0,17,4,2,0,0.080,0.840,0.000,0.680,0.160,0.080,0.000,0.032,0.885,S,L,0,0
588297864723103894,34,9,24,0,16,8,1,0,0.265,0.706,0.000,0.471,0.235,0.029,0.000,0.079,0.887,S,L,0,0
587735430693650569,61,1,58,0,56,2,1,1,0.016,0.951,0.000,0.918,0.033,0.016,0.016,0.003,0.963,S,L,0,0
587730773884076071,30,20,7,0,1,6,2,1,0.667,0.233,0.000,0.033,0.200,0.067,0.033,0.667,0.233,U,M,0,0
588290881102217448,38,3,35,0,17,18,0,0,0.079,0.921,0.000,0.447,0.474,0.000,0.000,0.027,0.973,S,L,0,0
587727223558635579,52,50,2,0,0,2,0,0,0.962,0.038,0.000,0.000,0.038,0.000,0.000,0.908,0.092,U,M,0,0
587730773872280407,61,8,52,26,0,26,1,0,0.131,0.852,0.426,0.000,0.426,0.016,0.000,0.025,0.957,S,L,0,0
587741708872188009,27,0,27,0,27,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587731891113033863,30,25,5,0,0,5,0,0,0.833,0.167,0.000,0.000,0.167,0.000,0.000,0.754,0.246,U,M,0,0
587737825135821027,28,4,23,0,13,10,1,0,0.143,0.821,0.000,0.464,0.357,0.036,0.000,0.097,0.867,S,L,0,0
587735237419008037,22,1,21,18,0,3,0,0,0.045,0.955,0.818,0.000,0.136,0.000,0.000,0.028,0.972,S,L,0,0
588011218601508969,42,1,40,37,1,2,0,1,0.024,0.952,0.881,0.024,0.048,0.000,0.024,0.010,0.966,S,L,0,0
587726100945436904,27,24,1,0,0,1,2,0,0.889,0.037,0.000,0.000,0.037,0.074,0.000,0.826,0.092,U,M,0,0
587731890842370319,60,47,11,0,5,6,2,0,0.783,0.183,0.000,0.083,0.100,0.033,0.000,0.717,0.249,U,M,0,0
588848899926917141,36,29,6,0,0,6,1,0,0.806,0.167,0.000,0.000,0.167,0.028,0.000,0.806,0.167,E,M,0,0
587741708880052378,31,0,31,30,1,0,0,0,0.000,1.000,0.968,0.032,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587725469595730076,30,27,2,0,0,2,1,0,0.900,0.067,0.000,0.000,0.067,0.033,0.000,0.818,0.145,U,M,0,0
587736915678199818,53,7,40,34,1,5,2,4,0.132,0.755,0.642,0.019,0.094,0.038,0.075,0.041,0.837,S,L,0,0
587735743688540587,37,17,16,7,5,4,4,0,0.459,0.432,0.189,0.135,0.108,0.108,0.000,0.112,0.725,U,L,0,0
587731681196572751,30,26,3,0,0,3,1,0,0.867,0.100,0.000,0.000,0.100,0.033,0.000,0.867,0.100,E,M,0,0
587732771575824527,33,1,30,27,0,3,0,2,0.030,0.909,0.818,0.000,0.091,0.000,0.061,0.008,0.930,S,L,0,0
587741602570502268,31,18,12,6,0,6,1,0,0.581,0.387,0.194,0.000,0.194,0.032,0.000,0.142,0.800,S,L,0,0
587734689814610189,27,23,3,1,0,2,0,1,0.852,0.111,0.037,0.000,0.074,0.000,0.037,0.852,0.111,U,M,0,0
588848900967694596,59,51,6,1,0,5,2,0,0.864,0.102,0.017,0.000,0.085,0.034,0.000,0.813,0.153,U,M,0,0
587725552826581046,51,1,48,0,46,2,1,1,0.020,0.941,0.000,0.902,0.039,0.020,0.020,0.011,0.949,S,L,0,0
588016839638581486,63,57,2,0,2,0,3,1,0.905,0.032,0.000,0.032,0.000,0.048,0.016,0.901,0.035,E,M,0,0
587729407538233585,31,11,19,0,18,1,1,0,0.355,0.613,0.000,0.581,0.032,0.032,0.000,0.100,0.859,S,L,0,0
587731912035729647,33,24,7,1,2,4,2,0,0.727,0.212,0.030,0.061,0.121,0.061,0.000,0.727,0.212,U,M,0,0
587732048942203049,31,19,11,0,2,9,1,0,0.613,0.355,0.000,0.065,0.290,0.032,0.000,0.208,0.737,U,L,0,0
588017603600056471,41,1,40,0,39,1,0,0,0.024,0.976,0.000,0.951,0.024,0.000,0.000,0.024,0.976,S,L,0,0
587731680111034704,32,19,13,1,1,11,0,0,0.594,0.406,0.031,0.031,0.344,0.000,0.000,0.434,0.566,U,M,0,0
587739505014603871,26,0,26,0,26,0,0,0,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,S,L,0,0
587736543085789314,35,0,26,0,25,1,1,8,0.000,0.743,0.000,0.714,0.029,0.029,0.229,0.000,0.743,U,L,0,0
587736781998391518,23,18,5,1,0,4,0,0,0.783,0.217,0.043,0.000,0.174,0.000,0.000,0.695,0.305,U,M,0,0
587734892747948183,32,22,8,0,0,8,1,1,0.688,0.250,0.000,0.000,0.250,0.031,0.031,0.688,0.250,U,M,0,0
587741532785148013,26,15,10,1,2,7,1,0,0.577,0.385,0.038,0.077,0.269,0.038,0.000,0.222,0.719,U,L,0,0
587727866720485599,45,17,20,8,2,10,6,2,0.378,0.444,0.178,0.044,0.222,0.133,0.044,0.115,0.650,U,L,0,0
587733079742873699,51,45,3,1,0,2,2,1,0.882,0.059,0.020,0.000,0.039,0.039,0.020,0.820,0.117,U,M,0,0
587729159501250723,30,5,25,1,21,3,0,0,0.167,0.833,0.033,0.700,0.100,0.000,0.000,0.139,0.861,S,L,0,0
587739610231341140,43,1,42,0,40,2,0,0,0.023,0.977,0.000,0.930,0.047,0.000,0.000,0.011,0.989,S,L,0,0
588017704018051262,39,17,21,8,1,12,1,0,0.436,0.538,0.205,0.026,0.308,0.026,0.000,0.152,0.814,S,L,0,0
587739405697613987,59,12,46,41,0,5,1,0,0.203,0.780,0.695,0.000,0.085,0.017,0.000,0.074,0.907,S,L,0,0
587731889505632372,67,46,10,1,0,9,11,0,0.687,0.149,0.015,0.000,0.134,0.164,0.000,0.687,0.149,U,M,0,0
587735662618738902,23,15,7,0,1,6,1,0,0.652,0.304,0.000,0.043,0.261,0.043,0.000,0.467,0.482,U,L,0,0
